word,mean,similar
만관부,만나서 반가워 잘 부탁해의 줄임말입니다.,만나서 반가워 잘 부탁해
많관부,많은 관심 부탁드립니다.의 줄임말입니다.,많은 관심 부탁드립니다
말또서,말 또 서운하게 하네의 줄임말입니다.,말 또 서운하게 하네
머선 129,무슨 일이고?의 일이고를 숫자로 표현한 신조어입니다.,무슨 일이야
모에모에쿵,음식이 맛있어져라라는 뜻을 가진 밈 신조어입니다.,"음식이 맛있어져,음식아 맛있어져라"
몸테크,몸과 제테크의 합성어로 재개발 이야기가 있는 집 살면서 불편을 감수한다는 의미하는 신조어입니다.,재개발 이야기가 있는 집 살면서 불편을 감수
무물보,무엇이든 물어보세요의 줄임말입니다.,무엇이든 물어보세요
분조카,분위기 좋은 카페의 줄임말입니다.,분위기 좋은 카페
생선,생일선물의 줄임말로 생일선물이라는 뜻입니다.,생일선물
세젤예,세상에서 제일 예쁘다의 줄임말 입니다.,"세상에서 제일 예쁘다, 세상에서 제일 예쁜"
소확횡,소소하고 확실한 횡령이라는 뜻을 가진 줄임말입니다.,소소하고 확실한 횡령
슈가대디,"나이 어린 여자를 만나는 아버지뻘 남자를 지칭하는 단어입니다, 원조교제를 하는 상대에게 돈을 잘 쓰는 나이든 남성을 뜻하는 단어로 스폰서와 비슷합니다.",나이 어린 여자를 만나는 아버지뻘 남자
식집사,식물과 집사의 합성어로 식물을 기르는 사람을 의미합니다.,"식물을 기르는 사람, 식물을 기르는 사람이"
싫존,싫어도 존중해 달라이라는 뜻을 가진 줄임말입니다.,"싫어도 존중해 달라, 싫어도 존중"
싫테,SNS 상에 싫어요 테러의 줄임말 입니다.,싫어요 테러
쉽살재빙,"쉽게만 살아가면 재미없고 빙고의 줄임말로, 가수 거북이의 노래 빙고의 가사 중 일부를 지칭합니다.",쉽게만 살아가면 재미없고 빙고
알빠임,내 알바 아님이라는 뜻을 가진 신조어입니다.,내가 알 필요 없어
예카,예쁜 카페의 줄임말입니다.,예쁜 카페
오나전,오나전'은 컴퓨터. 휴대폰 자판을 두드리다 보면 누구나 쉽게 겪는 '완전'의 오타입니다,완전
오운완,오늘 운동 완료의 줄임말로 밈 신조어입니다.,오늘 운동 완료
유하,"유튜브 하이의 줄임말로, 주로 Youtube Host와 Guest사이에 하는 인사법입니다.",유튜브 하이
이선좌,이미 선택된 좌석의 줄임말로 콘서트 티켓 예약할 때 선택한 좌석이 이미 다른 사람이 선점해서 예매할 수 없을 때 사용합니다.,이미 선택된 좌석
이왜진,이게 왜 진짜? 이라는뜻입니다.,"이게 왜 진짜?, 이게 왜 진짜야?"
인급동,"인기 급상승 동영상의 줄임말로, 유튜브의 기능 중 1개입니다.",인기 급상승 동영상
인만추,인위적인 만남 추구이라는 뜻입니다.,인위적인 만남 추구
인방,인터넷 방송이라는 뜻입니다.,인터넷 방송
잘봐 언니들 싸움이다,Mnet 스트릿 우먼 파이터 프로그램에서 나온 말로 대장들의 싸움을 의미하는 밈 신조어입니다.,"잘봐 언니들 싸움이다, 보고 배워"
저렴이,저렴한 제품이라는 뜻입니다.,저렴한 제품
제곧네,"""제목이 곧 내용이네"" 이라는 뜻입니다.",제목이 곧 내용
조용한 사직,회사에 뼈를 묻을 것처럼 일하지 않고 최소한의 일만 하면서 회사를 다니겠다는 의미 혹은 실제로 퇴사를 하지는 않았지만 직장에서 적극적으로 일을 잘 하려고 하는 마음이 없을 정도로 마음이 떠난 상태를 말합니다.,최소한의 일만 하면서 회사를 다님
중꺽마,중요한 것은 꺽이지 않는 마음이라는 밈 신조어입니다.,중요한 것은 꺽이지 않는 마음
카공,카페에서 공부한다.의 줄임말입니다.,카페에서 공부
키보드 워리어,온라인에서는 키보드로 채팅을 하는 등 활발하지만 오프라인에서는 소심한 성격 말하는 신조어입니다.,인터넷 공간에서 말을 거침없이 하는 사람
킹받네,king +열받네의 합성어 신조어입니다.,열받네
펫티켓,펫과 에티켓의 합성어로 애완동물을 키우는 사람들의 에티켓을 의미합니다.,애완동물을 키우는 사람들간의 에티켓
편리미엄,편리한 것이 프리미엄 뜻입니다.,편리한 것이 프리미엄
톤그루,피부에 맞지 않는 화장품 뜻입니다.,피부에 맞지 않는 화장품
트민남,트렌드에 민감한 남자 뜻입니다.,트렌드에 민감한 남자
현타,현실을 자각하는 타임이라는 뜻입니다.,현실 자각 타임
혼놀로그,혼자 노는 모습을 브이로그 찍는다를 의미하는 신조어입니다.,혼자 노는 모습의 브이로그
혼바비언,혼자 밥 먹는 사람을 의미하는 신조어입니다.,혼자 밥먹는 사람
홀리몰리,감탄사 or 놀랐을 때 사용하는 밈 신조어입니다.,"놀랐다, 놀랍다"
환승이직,환승과 이직의 합성어로 직장을 다니면서 이직을 준비한다는 의미합니다.,다니는 직장 그만 두고 이직 준비
sbn,선배님을 영어로 했을 때 초성으로만 줄임말입니다.,선배님
그 잡채,"""그 자체""와 발음이 유사함을 이용한 말장난 입니다.",그 자체
월루,월급을 루팡한다는 뜻 입니다.,"일이없는 직원, 일 안하고 월급받는 직원"
고나리자,관리자를 빠르게 치다가 생기는 오타를 의미하는 신조어입니다.,관리자
영끌,영혼까지 끌어모았다의 줄임말입니다.,"영혼까지 끌어 모았다, 영혼까지 끌어 모음"
미먼,미세 먼지의 줄임말 입니다.,미세먼지
라떼는 말이야,기성세대가 과거 회상을 할 때 사용하는 '나때는 말이야'를 풍자하는 표현하는 신조어입니다.,옛날엔 말이야
이시국,이런 시국에?'라는 뜻 입니다.,이런 시국에
처돌이,처돌이는 한가지에 푹 빠진 매니아를 뜻합니다.,"매니아, 미친사람"
플렉스,플렉스는 일시불로 많은 돈을 쓰는 행위 / 돈자랑을 하는 행위입니다.,"사치, 사치행위"
펭수하이,펭하는 펭수를 부르는 인사말입니다.,펭수야 안녕
관크,관객 크리티컬이라는 뜻으로 공연 도중 방해가되는 행위를 말합니다.,관객의 방해 행위
사딸라,"야인시대에서 유래한 말로, 협상이나 밀당 없이 파격행위를 요구할 때 쓰이는 말 입니다.",파격적인 요구
혼코노족,혼자 코인 노래방을 즐기는 사람들을 뜻합니다.,"혼자 코인노래방의 민족들, 혼자 코인노래방가는 사람"
두쿵,심쿵처럼 머리가 쿵 한다는 뜻 입니다.,"머리쿵, 충격"
아바라,아이스 바닐라 라떼의 줄임말입니다.,아이스바닐라라떼
손절,주식 가격이 떨어져 더 큰 피해를 줄이고자 손해를 감수하고서라도 매도하는 것을 의미합니다.,손해감수매도
익절,"손절의 반대 개념으로, 본인이 산 주식이 처음 가격보다 올라 수익을 보고 파는 행동을 의미합니다.",이익실현매도
하따,"하따는 하한가 종목에 투자하는 것으로, 두 경우 모두 추후 상승할 것으로 판단해 매수하는 것을 의미합니다.",하한가 종목에 투자
상따,상따는 '상한가 따라잡기'라는 뜻으로 상한가 직전의 종목 또는 상한가를 찍은 종목을 추가 상승 여부가 있다고 판단해 매수하는 것을 말합니다.,상한가 따라잡기
존버,"죽도로 버틴다'는 뜻으로, 장기투자를 의미. 상승과 하락에도 매도를 하지 않고 시간을 투자한다는 의미를 가진 신조어입니다.","죽도록버티기, 죽도록 버텨"
줍줍,단기 하락한 주식 종목을 사거나 추가 매수하는 행위. 싸게 주워 담는다는 의미를 가진 신조어입니다.,"싸게 주워 담는다, 싸게 주워 담아서 "
총알,주식을 매수할 자금을 일컫는 용어입니다.,자금
쩜상,장 시작과 동시에 상한가를 기록하는 것을 의미하는 단어입니다.,상한가바로달성
물타기,내가 매수한 가격보다 낮은 가격으로 추가 구매해 나의 평균 단가를 낮추는 방법으로 반대로 더 높은 가격으로 사면 불타기입니다.,추가매수로 평단가 낮추기
털개버세,"털리면 개미, 버티면 세력의 줄임말입니다.",털리면 개미 버티면 세력
뇌동매매,아무런 근거가 분석 없이 그냥 남의 의견 따라 매수/매도를 하는 행위를 지칭합니다.,근거 없는 매매
혹시 당근이세요?,"당근마켓(중고거래 온라인 앱) 직거래를 위해 만난 사람들끼리 주고받는 인사입니다. 당근마켓은 다양한 연령대(20~70대)의 이용자들이 중고물품을 거래하거나 산책, 식사를 함께 하는 친구를 만나는 등 동네 커뮤니티 플랫폼으로 활용되고 있습니다.",당근 중고래 당사자분 맞으시죠?
미닝아웃,"Meaning+Coming out'의 합성어. 소비활동에 자신의 취향과 신념을 적극적으로 표현하는 소비 습관을 말하는 신조어입니다.. 친환경 제품을 구입하고, 사회적 기업 또는 윤리적 경영을 하는 기업의 제품을 구매하는 등 일명 착한 소비활동으로 불립니다.",친환경 소비활동
비거노믹스,"채식주의자를 칭하는 비건과 경제를 뜻하는 이코노믹스를 합친 신조어이며, 식품뿐만 아니라 의류, 뷰티는 물론 플라스틱이나 일회용품 사용을 줄이는 친환경 소비를 추구한다는 뜻입니다.",비건 경제활동
할매니얼,"할머니와 밀레니얼을 합친 신조어로, 밀레니얼 세대들이 할머니 문화를 좋아하고 따라 하는 소비 트렌드를 지칭한다. 인절미, 쑥, 흑임자를 즐기는 할머니 입맛에 열광하고, 롱 스커트, 꽃무늬, 카디건처럼 '할매 룩'이 패션 아이템으로 사랑받는 중입니다.","할머니문화를 추앙하는 소비트렌드, 할머니 문화를 좋아하고 따라 하는 소비 트렌드"
네카라쿠배당토,"네이버, 카카오, 라인, 쿠팡, 배달의민족, 당근마켓, 토스를 대표하는 IT기업들의 첫글자를 따서 만든 신조어로, Z세대가 가장 취업하고 싶어하는 기업들을 지칭합니다.",네이버 카카오 라인 쿠팡  배달의민족 당근마켓 토스
700,귀여워의 초성과 700이 닮았다해서 나온 신조어입니다.,귀여워
커우커우족,짠돌이나 알뜰살뜰한 사람들을 말하는 신조어입니다.,"짠돌이, 알뜰살뜰족"
자강두천,자존심 강한 두 천재라는 신조어입니다.,"자존심 강한 두 천재, 자존심 강한 두 천재이"
궁사물사,궁금한 사람? 물어본 사람?의 줄임말입니다.,"궁금한 사람? 물어본 사람?, 궁금하지 않아"
개펀리펀,다시 봐도 꿀잼 (개 FUN RE FUN)입니다.,다시 봐도 꿀잼
ㄱㅂㅈㄱ,가보자고의 초성입니다.,가보자고
ㅐ워얼V,H워얼V는 '사랑해'라는 뜻입니다. '사랑해! '라고 말하기 낯간지러울 때 돌려 말하는 표현으로 사용한답니다..,사랑해
제당슈만,제가 당신을 슈퍼스타로 만들겠습니다의 줄임말입니다.,제가 당신을 슈퍼스타로 만들겠습니다
혼생네컷,혼자 찍는 인생 네컷의 줄임말입니다.,혼자 찍는 인생네컷
가즈아,"도박이나 투자에서 긍정적인 기대를 표현하는 감탄사인데, 소망을 말할 때 사용되는 단어로 의미가 확장되었습니다.","화이팅, 가보자고"
국뽕,자신의 국가의 소속감에 대한 자신감을  표현한 신조어입니다.,"패트리어티즘, 애국심"
금수저,부모의 연 소득과 가정 환경 등에 부족함이 없는 가정에서 태어나 호의호식하는 사람을 의미합니다.,부잣집
급식체,"학교에서 급식을 먹는 세대인 10대 청소년이 쓰는 말투 중 하나이며, 줄임말이나 초성체, 유명 크리에이터의 유행어를 섞어서 사용합니다.",10대 유행어
급식충,학교 생활에서 급식을 먹는 10대 청소년을 비하하는 표현입니다.,"10대 무리, 10대 청소년"
뇌피셜,"""자신의 뇌에서만 사실(공식)으로 받아들이는 것, 또는 받아들이는 사실이다.""을 의미합니다.",머리 속 상상
뉴트로,새로운 + retro의 합성어입니다.,뉴트로
노랑색사고싶다,너랑 성교를 하고 싶다을 흘려 말한 것입니다.,너랑 자고 싶어
대인배,"만화 럭키짱에서 유래된 신조어로, '소인배'의 반댓말이다. 너그럽고 아량이 넓어 다른 사람들에게 많이 베풀고 많이 도와주며 정의로운 사람을 뜻합니다.",너그러운 사람
딸바보,딸만 아는 바보같이 딸을 지극히 사랑하는 사람을 의미한다.,딸을 아끼는 사람
똥꼬충,동성애자 중 대부분 게이를 비하하는 단어입니다.,동성애자
나 때는 말이야,"기성세대가 신세대에게 '나 때는 말이야'라고 말하는 것을 비꼬는 말이다. 라떼드립으로도 불리며, 과거 기성세대의 언행을 비판하거나 풍자할 때 사용한다. Latte is horse(라떼 + 는 + 말이야) 라는 영어로도 쓰입니다..",옛날에는 말이야
ㅁㄴㅇㄹ,"두벌식 자판에서 왼손의 기본 위치를 순서대로 친 것으로, 아무 생각이 없다는 뜻인 신조어입니다.",아무 생각없다
맘충,자신의 자식만 우선시하는 주부를 의미하는 단어입니다.,자식만 우선시하는 사람
몸짱,"《딴지일보》에서 2003년 12월에 만든 말로, 몸매가 좋은 사람을 의미합니다.",몸이 좋은 사람
커밍아웃,어떠한 성향이나 소속 따위를 스스로 드러낸다는 의미의 접사이다. 성소수자가 스스로 자신의 성 정체성을 드러내는 것을 뜻하는 커밍아웃(coming out)에서 유래되었다. '방밍아웃'(방송하는 것을 드러내는 것)처럼 사용됩니다.,"자신을 드러내다, 자신을 드러내는, 비밀을 밝히는, 비밀을 말"
무슨 129,무슨 일이고? 중 일이고를 숫자로 표현한 신조어입니다.,무슨 일이야
버카충,버스카드 충전을 줄여서 말하는 말입니다. ㅈ주로  '뻐카충'이라고도 합니다.,버스카드 충전
빵셔틀,"학교 매점에서 빵을 사다주는 학생, 즉 심부름꾼을 말합니다.",심부름꾼
샵쥐,시아버지를 빠르게 말하면 샵쥐와 같은 발음이 된 데에서 유래했다. 시아버지를 편하게 칭하는 말입니다.,"시아버지, 시아버님"
190000,십구만 발음음 쉽구만이라는 표현으로 대체해서 사용하는 신조어입니다.,"쉽네, 쉽구만"
십구만,십구만 발음음 쉽구만이라는 표현으로 대체해서 사용하는 신조어입니다.,"쉽네, 쉽구만"
쌉고수,씹 + 고수의 합성어로 정말 + 고수라는 뜻의 합성어입니다.,고수
아무 말 대잔치,"맥락 없이, 생각 없이, 혹은 당황하여 입에서 나오는 아무 말을 그대로 모두 내뱉는 것을 의미하는 신조어입니다.","아무말이나 한다, 아무말이나 한"
어라랍스타??,"인싸들 사이에서 유행하는 신조어로 어라라?의 변형으로, 어라? 혹은 어라라? 랍스타를 붙여서 어라랍스타?? 로 사용합니다.",어라?
외계어,"통신언어에서, 의사소통의 어려움이 있을 정도로 변형된 표기입니다.  야민정음과도 비슷하지만, 야민정음이 대부분 한글을 이용한 것에 비해 외계어는 각종 히라가나/가타카나/특수문자 등을 섞어서 사용합니다.",외계어
월급루팡,회사에서 마땅히 하는 일 없이 월급만 받아가는 직원을 뜻하는 신조어입니다.,월급만 받아가는 직원
의문의 1승,의도하지 않았지만 이득을 얻게 된 상황을 의미하는 신조어입니다.,"운이 좋았다, 운으로 이득"
일진,"학교 폭력을 저지르거나 선생님의 말을 잘 듣지 않는 등의 학생으로, 불량 학생과도 비슷한 신조어입니다.",불량학생
잼민이,인터넷 상에서 활동하는 무개념 초등학생을 낮춰 부르는 신조어입니다. ,초등학생
지름신,"물건을 지르고 싶어하게 만드는 신을 의미하는 신조어로, 물건을 사고 싶어질 때 '지름신 강림'과 같은 식으로 쓰입니다.",과소비
진지충,분위기를 읽지 못하고 진지하게 구는 사람을 의미하는 신조어입니다.(진지 + -충),진지한 사람
짐승남,짐승처럼 거친 아름다움이 돋보이는 남자을 의미하는 신조어입니다.,거친 사람
창렬,"겉보기에 비해 품질이 좋지 못한 경우을 의미하는 신조어입니다. 원래 1993년~1995년쯤 초중고 학생들이 쓰던 비속어에서 파생, 변화된 유행어였다. 이 단어가 이미 등장한 상태에서 2005년 디시인사이드에서 유행어로 쓰이고 있었다. 그런데 2009년 DJ DOC의 멤버 김창렬을 모델로 한 편의점 즉석식품 '김창렬의 포장마차' 시리즈가 가격에 비해 양이 적고, 품질이 좋지 않았기 때문에 음이 비슷한 김창렬을 조롱하는 단어로 바뀌었다. 명사로는 창렬, 형용사로는 창렬스럽다 등 다양한 쓰임새가 있다. 반의어로는 혜자가 있다.","가성비가 안 좋다, 가성비가 좋지 않음"
치느님,치킨 + 하느님의 합성어입니다.,치킨
코렁탕,설렁탕을 코로 먹이는 고문 방법입니다. 이명박 정부에 설렁탕을 먹는 모습이 있었는데 마치 코로 먹는것 같다하여 생긴 신조어입니다.,고문
쿠쿠루삥뽕,"트위치 도네이션의 찬구에서 나온 의성어 신조어로, 웃거나 약올릴때 사용하는 신조어입니다.",쿠쿠루삥뽕
탕진잼,일상생활에 지장이 되지 않는 범위 내에서 푼돈을 소모하는 일을 의미하는 신조어입니다.,"푼돈을 썼다, 푼돈 재밋게 썻다"
튀다,달리는 것보다 더 빨리 도망치자는 뜻의 신조어입니다.,"도망치다, 도망쳐, 도망가"
토빨,토착 종북 세력을 토착왜구보다 더 악랄한 빨갱이로써 강조하는 의미를 가진 신조어입니다.,앞잡이
틀니딱딱,"틀니를 딱딱거린다의 줄임말로 노인들의 신체적 결함을 조롱하는 의미가 있고, 대상의 사고방식이 공존과 거리가 멀고 낡았다는 의미가 담겨있다.",나이드신 분
품절녀,"이미 배우자나 여자친구가 있는 남성을 가리키는 신조어입니다. 유의어로는 유부남이 있으며, 여자 버전으로는 품절녀가 있다.","유부녀, 애인있는 사람"
품절남,"이미 배우자나 여자친구가 있는 남성을 가리키는 신조어입니다. 유의어로는 유부남이 있으며, 여자 버전으로는 품절녀가 있다.","애인이 있는 사람, 유부남"
퐁퐁남,능력없는 여성의 꼬임에 빠져 여성에게 착취당하는 남성을 의미하는 신조어입니다.,불쌍한 사람
혈중 마라 농도,혈중 알코올 농도에 빗댄 말로 마라탕을 얼마나 자주 먹었는지를 의미하는 신조어입니다.,체내 마라탕 섭취 농도 
홍대병,인디 문화의 상징과 같은 홍익대학교의 인근을 뜻하는 '홍대'라는 지명을 빌려와 한국형 힙스터인 척하는 사람들을 비꼬을 때 사용하는 신조어입니다.,힙한 척하는 사람
흙수저,부모에게 경제적 지원을 받기 어려운 가정에서 태어난 사람을 의미하는 단어입니다. 금수저의 반댓말로 사용됩니다.,가난한 사람
가성비,"""가격 대비 성능""의 줄임말 입니다.",가격 성능 대비
강퇴,강제 퇴장의 줄임말입니다.,강제 퇴장
갑툭튀,갑자기 툭 하고 튀어나온다의 줄임말입니다.,"갑자기 튀어 나오다, 갑자기 튀어, 갑자기 튀어 나오는 짓"
김치녀,한국 여성을 비하하는 말입니다.,나쁜 여자
나나,박박과 같이 존나의 뒷글자를 반복한 말입니다.,정말정말
남사친,"남자 사람 친구'의 줄임말으로, 좋아서 사귀는 감정 없이 단순히 성별이 남자인 친구를 뜻합니다. 이를 반대로 해석하여 '남자 사랑하는 친구'로 놀리는 때도 있습니다.",남자 사람친구
내로남불,내가 하면 로맨스 남이 하면 불륜'의 줄임말입니다.,"앞뒤가 다르다, 앞뒤가 다르, 앞 뒤가 다름, 앞뒤가 다른거"
넘사벽,어떤 것을 앞서갈 수 없다는 뜻하는 신조어입니다.,넘을 수 없는 벽
단짠,달고 짠 맛의 줄임말입니다.,달고 짠 맛
대깨,"좌파, 우파에 대한 맹목적인 지지 및 지지자들을 일컫는 말입니다.",맹목적 지지자
듣보잡,명사 ‘듣지도 보지도 못한 잡것의 줄임말입니다.,처음보는 사람
ㄹㅇㅋㅋ,레알ㅋㅋ'의 초성으로 ㅇㅈ와 비슷하지만 웃음의 뜻을 더 담고 있는 신조어입니다.,"재밋다, 재밋네"
성진국,성문화 산업이 발달한 일본을 일컫는 말입니다.(성 + 선진국),일본
셀카,자신이 카메라를 들고 자신을 찍는 일을 의미합니다. (self + camera) 비슷한 신조어에는 '셀피'도 있습니다. (self + picture),본인 사진
스펙,"영어단어 Specifications의 줄임말이며, 직장을 구하기 위해 필요한 자격증이나 경력사항, 출신 학교 등의 기록 또는 업적을 쌓아둔 것을 의미합니다. ","사회적 능력,  경력"
썸,호감이 있는 대상과 교제하기 전에 주고받는 미묘한 감정을 의미합니다. 두 사람의 사이에 무언가(something)가 있다는 말에서 유래했습니다.,"연애 전 알아가는 과정, 사귀기전 미묘한 감정"
악플,악플은 나쁜 의미를 담은 댓글을 의미합니다.,나쁜 뜻을 가지고 있는 댓글
안물안궁,안' '물'었고 '안' '궁'금해라는 문장에서 단어 앞글자들을 따온 말입니다. 관심이 없다는 뜻으로 해석할 수 있습니다.,"안 물었고 안 궁금해, 안 물었고 안 궁금"
엄친아,"엄마 친구 아들 은 자신보다 잘난 사람 또는 대중들에게 어느 것 하나 빠지지 않는 완벽한 사람을 비유적으로 이르는 말입니다. 엄마가 하는 말인 ""내 친구 아들은 ~한다는데""에서 유래했으며, 비슷한 말로는 엄친딸이 있습니다.","엄마 친구 아들, 영재"
여사친,여자 사람 친구 는 좋아서 사귀는 감정 없이 단순히 성별이 여자인 친구를 의미합니다.,여자 사람 친구
용자,용기 있는 자'의 줄임말로 용기 있는 행동을 한 자를 의미합니다.,용기있는 사람
움짤,움직이는 짤방의 줄임말입니다.,움직이는 사진
일반인 코스프레,일반인 + 코스프레'로 어떠한 것을 매우 좋아하여 이상한 사람처럼 보일 수 있는 사람이 주변인에게는 평범한 일반인처럼 보이려는 것을 의미합니다.,일반인 처럼 보이려 하는 행동
일코,일반인 코스프레'의 줄임말로 어떠한 것을 매우 좋아하여 이상한 사람처럼 보일 수 있는 사람이 주변인에게는 평범한 일반인처럼 보이려는 것을 의미합니다.,일반인 처럼 보이려 하는 행동
ㅈㄱㄴ,제곧내의 초성으로 '제목이 곧 내용'이라는 뜻입니다.,제목이 곧 내용
ㅈㅅ,죄송'의 초성으로 미안하다는 뜻입니다.,죄송합니다
자라니,"자전거의 ""자""자와 고라니의 ""라니""를 합친 말로, 고라니처럼 차량 운행이나 도로 상황을 좋지 않게 만드는 자전거 라이더를 의미합니다.",자전거 타며 남에게 피해주는 사람
존맛,존맛탱 JMT(존나 + 맛있다/+ -탱): 어떤 음식이 매우 맛있다는 표현입니다.,"정말 맛있다, 정말 맛있는 음식"
치맥,치킨 + 맥주의 줄임말입니다.,치킨과 맥주
카공족,카페에서 공부하는 족'의 줄임말로 카페를 학습 공간으로 사용하는 사람들을 의미합니다.,"카페에서 공부 하는 무리, 카페에서 공부 하는 사람"
텅장,텅 빈 통장'의 줄임말로 통장에 돈이 없거나 부족할 때 사용합니다.,텅 빈 통장
한남,"한국 남자의 줄임말로, 한국 남성들을 비하하는데 쓰이는 멸칭 또는 혐오표현입니다.",한국남자
인싸,"Insider 인사이더'의 앞글자로 사회그룹 안에 있는사람, 사회적으로 인기있고 사람을 의미합니다.","친화력 있는 사람, 친구 많은 사람"
인싸력,보통 사회성이 뛰어나 사람들과 잘 어울리고 인기가 많은 사람들의 특성을 '인싸력'이라고 말합니다.,친화력
아이폰짤,아이폰 스크린샷을 편집하여 만든 재미있는 이미지,아이폰으로 편집한 이미지
바이브,바이브 Vibe 는 분위기나 느낌을 의미하는 용어입니다. ,분위기
이지모드,Easy Mode 는 간단하고 쉬운 상태나 모드를 의미합니다.,간단한 상태
원피스룩,상의와 하의가 하나로 이어진 옷을 의미합니다. (One-Piece Look),원피스 코디
언팔,un follow의 한국식 발음에서 앞글자를 따온 말로 소셜 미디어에서 더 이상 팔로우하지 않음을 의미하는 용어입니다.,팔로우 끊기
셀카봉,스마트폰을 셀카 찍을 때 사용하는 스마트폰 지지 스틱을 의미합니다. (Selfie Stick),셀카스틱
인싸들러,인싸들과 함께 모여 다니는 사람을 지칭하는 말입니다.,친화력이 좋은 사람들
자몽녀,자몽처럼 산뜻한 이미지의 여자를 의미하는 용어입니다. 과즙상에서 유래된 말입니다.,산뜻한 느낌을 가진 여자
컨셉돌,특정 컨셉을 가지고 활동하는 아이돌그룹을 의미하는 말입니다.,컨셉을 담당한 멤버
이쁨배틀,서로의 예쁨을 겨루는 경쟁을 의미하는 용어입니다. ,외모 경쟁
투잡,직장 외에도 다른 일을 하며 수입을 만드는 것을 의미합니다.,"2개 이상의 일, 2개 이상의 일을 병행"
꿀잼,아주 재미있다는 뜻으로 '꿀'과 '재미'를 합친 말입니다.,"너무 재밋다, 너무 재미"
핵인싸,소셜 네트워크 등에서 많은 사람들과 인기있게 교류하는 사람으로 '핵'과 '인싸이더'를 합친 말입니다.,"인기 많은 사람, 인기 많은 사람이"
이지붐,손쉽게 즐길 수 있는 즐거운 경험을 의미하는 용어입니다.,쉽게 즐길 수 있는 경험
아재개그,아재는 아저씨의 다른 말로 아재 개그는 중년 남성들이 자주하는 유치하고 재미없는 농담(개그)을 의미합니다.,시대가 지난 개그
팔로워,소셜 미디어에서 자신의 계정을 구독하거나 팔로우하는 사람들을 가리키는 용어입니다.,팔로우 하는 사람들
꿀잠,아주 푹 자는 잠을 가리키는 말입니다.,개운한 잠
오마이갓,영어권에서 놀랄때 깜짝이야! 처럼 Oh My God(신이시여)라는 말을  감탄사로 놀라움을 표현하는 말입니다.,"너무 놀라워, 너무 놀람"
쇼미더,쇼미더는 영어 Show me the 를 한국어로 쓴 말로 보여달라는 의미입니다.,보여줘
소귀,소소하게 귀여운 사람입니다.,소소하게 귀여운 사람
프사,소셜미디어 등에서 프로필에 올려두는 사진을 의미하는 줄임말입니다. (Profile Picture),프로필 사진
카피녀,옷 메이크업 등을 사람들의 룩을 복사하여 따라하는 여자를 의미하는 말,다른 사람의 코디를 따라하는 여자
정주행,드라마나 영화 등을 쉬지않고 연속해서 보는 것을 의미합니다.,끊기지 않고 이어보기
실전재능,실제 상황에서 발휘하는 재능을 가리키는 용어입니다.,실전 재능
얼추,얼굴 만으로 대충 추측하는 말입니다.,얼굴로 추축
구두주의,말이 무겁고 예의 바른 발언을 강조하는 말입니다.,말을 아끼고 예의가 바른 발언
무신사,무심한 듯 차분하고 멋진 스타일을 지닌 남성을 지칭하는 말 무신사 쇼핑몰에서 유래했습니다.,"무심한 신사분, 무심한 신사분이"
카톡제막,메시지를 보고 답장하지 않는 사람을 지칭하는 말입니다.,읽고 답장하지 않는 사람
멘붕,멘탈 붕괴를 줄인 말로 정신적으로 지친 상태를 의미합니다.,정신적으로 지친 상태
메리제인,"대마초를 가리키는 마리화나(marijuana)에서 Mari(마리)와 Juana(후아나)는 스페인어 여성 이름으로, 영어로는 Mary(메리)와 Jane(제인)에 해당되기 때문에 이런 은어가 붙었습니다.",대마초
트랜드메이커,트렌드를 만들어가는 사람을 의미합니다. 유행 선도자와 일맥상통합니다.,트랜드 선두자
꿀조합,꿀+조합으로 아주 잘 어울리는 조합을 의미하는 말입니다.,아주 어울리는 조합
라틴댄스,라틴계의 춤을 춰서 행복한 느낌을 갖는 것입니다.,라틴댄스
외모지상주의,외모를 너무 중요시하는 태도를 의미하는 말입니다.,외모가 중요시 된 사회
티켓팅,인기 있는 티켓 구매를 하는 행위를 말합니다.,티켓팅
눈뽀개기,아주 졸릴 때 눈을 자극하여 기운을 찾기 위한 행동을 의미합니다.,눈을 자극하여 기운을 찾기 위한 행동
트친,트위터 친구의 줄임말 입니다.,트위터 친구
모쏠,모태솔로로서 연애 경험이 없는 사람입니다. (모태+솔로),"여지것 혼자, 태어나서 지금까지 연애 무경험"
발라드병,발라드를 너무 좋아하여 중독된 상태를 의미하는 말입니다.,"발라드를 많이 좋아하는 상태, 발라드를 많이 좋아하는 상태에"
유트브충,유튜브를 즐기고 콘텐츠를 많이 업로드하는 사람을 속된말로 부르는 말입니다.,"유튜브에 푹 빠진, 유튜브에 푹 빠진 사람"
선망스러움,선망하고 부러워하는 감정을 표현한 말입니다. ,선망하고 부러워하는 감정
눈치채삼,눈치가 빠른 사람들이 모여 다니는 모습을 지칭하는 단어입니다.,눈치 빠른 사람들
요즘식구,요즘 시대의 가족 관계를 의미하는 단어입니다.,요즘 시대 가족
폰피커,스마트폰을 스피커 처럼 사용하는 것을 의미합니다.,핸드폰 스피커
찐맛집,진짜 맛있는 음식점을 가리키는 용어을 의미합니다.,진짜 맛집
계절템,계절마다 인기 있는 옷이나 패션 아이템을 지칭하는 말을 의미합니다.,계절 아이템
